1,Orog le Tailleur
2,Lena la Tisseuse
3,Tor le Chasseur
4,Kara la Potière
5,Sarn le Sculpteur
6,Bato le Musicien
7,Nila la Guérisseuse
8,Hephaistios le Potier
9,Dorothea la Tisserande
10,Phoebe la Bijoutière
11,Julia la Peintre
12,Gaius le Marchand
13,Lucius le Scribe
14,Marcus le Forgeron
15,Alaric le Forgeron
16,Cécile la Couturière
17,Isolde la Brodeuse
18,Hugo le Chevalier
19,Tristan le Luthier
20,Roland le Scribe
21,Margot la Guérisseuse
22,Francesco le Navigateur
23,Beatrice la Peintre
24,Giulia la Couturière
25,Matteo le Joaillier
26,Laura la Poétesse
27,Roberto le Maître d'Échecs
28,Victor l'Horloger
29,Edward le Chapelier
30,Margaret la Couturière
31,Albert le Ferronnier
32,Charles l'Inventeur
33,Elizabeth la Céramiste
34,James l'Explorateur
35,Sarah la Brodeuse
36,Neo l'Innovateur
37,Ava la Technologue
38,Orion le Constructeur
39,Elara l'Ingénieure
40,Titan le Concepteur
41,Nova la Biotechnologue
42,Atlas le Révolutionnaire
